見る、診る,みる,看、诊断
探す、捜す,さがす,寻找
遅れる,おくれる,迟了、没赶上
時間に遅れる,じかんにおくれる,没赶上（时间）
間に合う,まにあう,赶上（时间）
やる,やる,做、干、搞
参加します,さんかする,参加
パーティーに参加します,パーティーにさんかする,参加（晚会）
申し込む,もうしこむ,报名、申请
都合がいい,つごうがいい,方便（时间上）
都合が悪い,つごうがわるい,不方便（时间）
気分がいい,きぶんがいい,感觉舒服
気分が悪い,きぶんがわるい,感觉不舒服
新聞社,しんぶんしゃ,报社
柔道,じゅうどう,柔道
運動会,うんどうかい,运动会
場所,ばしょ,场所、地点
Volunteer,ボランティア,志愿者（活动）
～弁,～べん,～方言
今度,こんど,这次、这回、下次、下回
ずいぶん,ずいぶん,很、极、相当
直接,ちょくせつ,直接
いつでも,いつでも,随时
どこでも,どこでも,在任何地方
だれでも,だれでも,任何人都
何でも,なんでも,什么都
こんな～,こんな～,这样的～
そんな～,そんな～,那样的～
あんな～,あんな～,那样的～
NHK,NHK,日本广播协会（广播公司）
こどもの日,こどもの日,（日本）男孩节
エドヤストア,エドヤストア,江户屋商店（虚构的店名）
荷物が片付きる,かたづきる,收拾（行李）
ごみ,ごみ,垃圾
ごみを出す,だす,扔掉、倒（垃圾）
ごみが燃える,もえる,（垃圾）燃烧
月　水　金,げつ　すい　きん,星期一、星期二、星期五
置き場,おきば,放置的地方
横,よこ,旁边
瓶,びん,瓶子
缶,かん,罐子
「お」湯,「お」ゆ,热水
Gas,ガス,煤气
～会社,～がいしゃ,～公司
連絡する,れんらくする,联系
困ったなあ,こまったなあ,怎么办呢？
電子メール,でんしメール,电子邮件
宇宙,うちゅう,宇宙
怖い,こわい,害怕（的）、可怕（的）
宇宙船,うちゅうせん,宇宙飞船
別の,べつの,别的
宇宙飛行士,うちゅうひこうし,宇航员
土井隆雄,どいたかお,土井隆雄，日本宇航员，1955～
飼う,かう,饲养、喂
建つ,たつ,修建
走る,はしる,跑 
道を走る,みちをはしる,在路上［跑］
取る,とる,取得
休みを取る,やすみをとる,请［假］
見える,みえる,看得见
山が見える,やまがみえる,看得见［山］
聞こえる,きこえる,听得见
音が聞こえる,おとがきこえる,听得见［声音］
出来る,できる,产生、形成、完成、能
空港が出来る,くうこうができる,建好［机场］
開く,ひらく,开
教室を開く,教室をひらく,开［讲座］
Pet,ペット,宠物
鳥,とり,鸟
声,こえ,声音
波,なみ,波浪
花火,はなび,烟花
景色,けしき,景色
昼間,ひるま,白天
昔,むかし,从前、以前
道具,どうぐ,工具
自動販売機,じどうはんばいき,自动售货机
通信販売,つうしんはんばい,邮递购物、邮购
Cleaning,クリーニング,（干）洗、洗衣
Mansion,マンション,高级公寓
台所,だいどころ,厨房
～教室,～きょうしつ,教室
Party room,パーティールーム,晚会厅
～後,～ご,～之后（时间、期间）
～しか,～しか,只有～
ほかの,ほかの,之外的
はっきり,はっきり,清楚地
ほとんど,ほとんど,几乎所有的（用于肯定句） 几乎都不（用于否定句）
日曜大工,にちようだいく,星期天做木匠活儿
本棚,ほんだな,书架
夢,ゆめ,梦
いつか,いつか,什么时候
家,いえ,家、房子
すばらしい,すばらしい,极好地、很棒的
子どもたち,こどもたち,孩子们
大好き（な）,だいすき（な）,非常喜欢
漫画,まんが,漫画、连环画
主人公,しゅじんこう,主人公
形,かたち,形状、样子
ロポット,ロポット,机器人
不思議（な）,ふしぎ（な）,不可思议（形动）
ポケット,ポケット,口袋
例えば,たとえば,例如
付ける,つける,戴上
自由に,じゆうに,自由地
空,そら,天空
飛ぶ,とぶ,飞、飞翔
自分,じぶん,自己
将来,しょうらい,将来
ドラえもん,ドラえもん,机器猫
売れる,うれる,卖、出售
Panが売れる,パンがうれる,出售［面包］
踊る,おどる,跳舞
咬む,かむ,嚼、咬
選ぶ,えらぶ,选择
違う,ちがう,不同
通う,かよう,通过
大学に通う,だいがくにかよう,上［大学］
Memoする,メモする,记笔记
真面目「な」,まじめ「な」,认真
熱心「な」,ねっしん「な」,热心
優しい,やさしい,和蔼的、温和的
偉い,えらい,了不起的
ちょうどいい,ちょうどいい,正好
習慣,しゅうかん,习惯
経験,けいけん,经验
力,ちから,力量、力气
人気,にんき,人缘、受欢迎
形,かたち,形状、样子
色,いろ,颜色
味,あじ,味道
Gum,ガム,口香糖
品物,しなもの,商品、物品
値段,ねだん,价格、价钱
給料,きゅうりょう,工资、报酬
Bonus,ボーナス,奖金、红包
番組,ばんぐみ,节目
